2026-01-31 11:26:14,338 | INFO | Historical Data | [134/9165] Downloading NIFTY500 HEALTHCARE
2026-01-31 11:26:14,429 | INFO | Historical Data | [135/9165] Downloading GOLDSTAR-SM
2026-01-31 11:26:14,547 | INFO | Historical Data | [136/9165] Downloading 21STCENMGM
2026-01-31 11:26:14,668 | INFO | Historical Data | [137/9165] Downloading AARTIIND
2026-01-31 11:26:14,784 | INFO | Historical Data | [138/9165] Downloading ABB
2026-01-31 11:26:14,899 | INFO | Historical Data | [139/9165] Downloading 656KA30-SG
2026-01-31 11:26:14,989 | INFO | Historical Data | [140/9165] Downloading GATECHDVR
2026-01-31 11:26:15,125 | INFO | Historical Data | [141/9165] Downloading 66RJ30-SG
2026-01-31 11:26:15,218 | INFO | Historical Data | [142/9165] Downloading STYRENIX
2026-01-31 11:26:15,358 | INFO | Historical Data | [143/9165] Downloading 66GA30A-SG
2026-01-31 11:26:15,448 | INFO | Historical Data | [144/9165] Downloading 664UP30-SG
2026-01-31 11:26:15,537 | INFO | Historical Data | [145/9165] Downloading ACC
2026-01-31 11:26:15,680 | INFO | Historical Data | [146/9165] Downloading 67JK30-SG
2026-01-31 11:26:15,781 | INFO | Historical Data | [147/9165] Downloading ADANIENT
2026-01-31 11:26:15,928 | INFO | Historical Data | [148/9165] Downloading 67HR30-SG
2026-01-31 11:26:16,028 | INFO | Historical Data | [149/9165] Downloading 667MH31-SG
2026-01-31 11:26:16,128 | INFO | Historical Data | [150/9165] Downloading 679MP33-SG
2026-01-31 11:26:16,224 | INFO | Historical Data | [151/9165] Downloading ADOR
2026-01-31 11:26:16,359 | INFO | Historical Data | [152/9165] Downloading 677KA34-SG
2026-01-31 11:26:16,446 | INFO | Historical Data | [153/9165] Downloading 685AP36-SG
2026-01-31 11:26:16,533 | INFO | Historical Data | [154/9165] Downloading AEGISLOG
2026-01-31 11:26:16,683 | INFO | Historical Data | [155/9165] Downloading 687AP38-SG
2026-01-31 11:26:16,771 | INFO | Historical Data | [156/9165] Downloading 677WB40-SG
2026-01-31 11:26:16,868 | INFO | Historical Data | [157/9165] Downloading SANWARIA-BZ
2026-01-31 11:26:17,024 | INFO | Historical Data | [158/9165] Downloading HAPPSTMNDS
2026-01-31 11:26:17,150 | INFO | Historical Data | [159/9165] Downloading 663GJ29-SG
2026-01-31 11:26:17,243 | INFO | Historical Data | [160/9165] Downloading 684TS40-SG
2026-01-31 11:26:17,334 | INFO | Historical Data | [161/9165] Downloading 665KA30-SG
2026-01-31 11:26:17,438 | INFO | Historical Data | [162/9165] Downloading 675KA33-SG
2026-01-31 11:26:17,535 | INFO | Historical Data | [163/9165] Downloading 667UK30-SG
2026-01-31 11:26:17,623 | INFO | Historical Data | [164/9165] Downloading ALEMBICLTD
2026-01-31 11:26:17,775 | INFO | Historical Data | [165/9165] Downloading 67ML30-SG
2026-01-31 11:26:17,864 | INFO | Historical Data | [166/9165] Downloading 67NL30-SG
2026-01-31 11:26:17,952 | INFO | Historical Data | [167/9165] Downloading 667RJ30-SG
